# machine monitor started pid=2781965 interval=90s 2026-06-12 01:21:58
# columns: time | load1 | mem_avail_gib | data_free_gib | lsmgraph_release_procs(pid:rss_gib:state) | correctness_script_alive
2026-06-12 04:44:40 | 5.15 | 420.7 | 285 | 3057390:0.0:S,3057391:28.3:R | no
2026-06-12 04:46:10 | 5.28 | 403.1 | 282 | 3057390:0.0:S,3057391:45.8:R | no
2026-06-12 04:47:40 | 4.94 | 403.2 | 280 | 3057390:0.0:S,3057391:45.8:R | no
2026-06-12 04:49:10 | 4.83 | 401.7 | 277 | 3057390:0.0:S,3057391:47.2:R | no
2026-06-12 04:50:41 | 5.32 | 399.7 | 274 | 3057390:0.0:S,3057391:49.3:R | no
2026-06-12 04:52:11 | 5.23 | 397.6 | 271 | 3057390:0.0:S,3057391:51.4:R | no
2026-06-12 04:53:41 | 5.18 | 395.8 | 268 | 3057390:0.0:S,3057391:53.2:R | no
2026-06-12 04:55:11 | 5.32 | 393.6 | 265 | 3057390:0.0:S,3057391:55.3:R | no
2026-06-12 04:56:41 | 5.55 | 361.0 | 261 | 3057390:0.0:S,3057391:87.9:S | no
2026-06-12 04:58:11 | 4.46 | 364.1 | 260 | 3057390:0.0:S,3057391:84.8:R | no
2026-06-12 04:59:41 | 5.13 | 362.0 | 257 | 3057390:0.0:S,3057391:86.9:R | no
2026-06-12 05:01:11 | 5.11 | 360.1 | 254 | 3057390:0.0:S,3057391:88.8:R | no
2026-06-12 05:02:41 | 5.26 | 358.0 | 251 | 3057390:0.0:S,3057391:90.8:R | no
2026-06-12 05:04:11 | 5.03 | 356.2 | 248 | 3057390:0.0:S,3057391:92.7:R | no
2026-06-12 05:05:41 | 5.21 | 354.3 | 245 | 3057390:0.0:S,3057391:94.5:R | no
2026-06-12 05:07:12 | 5.19 | 351.7 | 241 | 3057390:0.0:S,3057391:97.1:R | no
2026-06-12 05:08:42 | 5.30 | 349.5 | 238 | 3057390:0.0:S,3057391:99.3:R | no
2026-06-12 05:10:12 | 5.12 | 346.9 | 235 | 3057390:0.0:S,3057391:101.9:R | no
2026-06-12 05:11:42 | 5.49 | 344.5 | 232 | 3057390:0.0:S,3057391:104.4:R | no
2026-06-12 05:13:12 | 5.42 | 342.8 | 229 | 3057390:0.0:S,3057391:106.1:R | no
2026-06-12 05:14:42 | 5.69 | 307.4 | 226 | 3057390:0.0:S,3057391:141.4:R | no
2026-06-12 05:16:12 | 6.38 | 282.2 | 223 | 3057390:0.0:S,3057391:166.5:R | no
2026-06-12 05:17:42 | 4.21 | 291.8 | 222 | 3057390:0.0:S,3057391:156.9:R | no
2026-06-12 05:19:12 | 3.52 | 291.8 | 222 | 3057390:0.0:S,3057391:156.9:R | no
2026-06-12 05:20:42 | 3.14 | 291.8 | 222 | 3057390:0.0:S,3057391:156.9:R | no
2026-06-12 05:22:12 | 3.69 | 291.8 | 222 | 3057390:0.0:S,3057391:156.9:R | no
2026-06-12 05:23:42 | 3.42 | 291.8 | 222 | 3057390:0.0:S,3057391:156.9:R | no
2026-06-12 05:25:13 | 3.42 | 374.0 | 222 | 3057390:0.0:S,3057391:74.9:R | no
2026-06-12 05:26:43 | 5.48 | 402.6 | 222 | 3057390:0.0:S,3057391:46.3:S | no
2026-06-12 05:28:13 | 4.49 | 446.9 | 353 | 3095729:0.0:S,3095730:2.1:R | no
2026-06-12 05:29:43 | 4.93 | 446.5 | 350 | 3095729:0.0:S,3095730:2.5:R | no
2026-06-12 05:31:13 | 5.01 | 446.3 | 347 | 3095729:0.0:S,3095730:2.8:R | no
2026-06-12 05:32:43 | 5.21 | 445.9 | 345 | 3095729:0.0:S,3095730:3.1:R | no
2026-06-12 05:34:13 | 5.10 | 445.9 | 342 | 3095729:0.0:S,3095730:3.2:R | no
2026-06-12 05:35:43 | 4.89 | 445.6 | 339 | 3095729:0.0:S,3095730:3.4:R | no
2026-06-12 05:37:13 | 4.52 | 445.2 | 336 | 3095729:0.0:S,3095730:3.8:R | no
2026-06-12 05:38:43 | 4.46 | 444.8 | 334 | 3095729:0.0:S,3095730:4.2:R | no
2026-06-12 05:40:13 | 4.40 | 444.6 | 331 | 3095729:0.0:S,3095730:4.5:S | no
2026-06-12 05:41:44 | 4.48 | 443.5 | 328 | 3095729:0.0:S,3095730:5.5:R | no
2026-06-12 05:43:14 | 4.55 | 443.5 | 326 | 3095729:0.0:S,3095730:5.6:R | no
2026-06-12 05:44:44 | 4.69 | 443.4 | 323 | 3095729:0.0:S,3095730:5.6:R | no
2026-06-12 05:46:14 | 4.30 | 443.0 | 320 | 3095729:0.0:S,3095730:6.0:R | no
2026-06-12 05:47:44 | 4.38 | 442.7 | 318 | 3095729:0.0:S,3095730:6.4:R | no
2026-06-12 05:49:14 | 4.65 | 440.5 | 315 | 3095729:0.0:S,3095730:8.6:R | no
2026-06-12 05:50:44 | 4.40 | 439.9 | 312 | 3095729:0.0:S,3095730:9.2:R | no
2026-06-12 05:52:14 | 4.91 | 439.3 | 309 | 3095729:0.0:S,3095730:9.8:R | no
2026-06-12 05:53:44 | 4.54 | 435.3 | 306 | 3095729:0.0:S,3095730:13.7:R | no
2026-06-12 05:55:14 | 4.82 | 434.7 | 303 | 3095729:0.0:S,3095730:14.3:R | no
2026-06-12 05:56:44 | 4.80 | 434.0 | 300 | 3095729:0.0:S,3095730:15.0:R | no
2026-06-12 05:58:15 | 4.82 | 433.5 | 297 | 3095729:0.0:S,3095730:15.5:R | no
2026-06-12 05:59:45 | 4.78 | 432.4 | 294 | 3095729:0.0:S,3095730:16.7:R | no
2026-06-12 06:01:15 | 4.95 | 424.1 | 291 | 3095729:0.0:S,3095730:24.9:R | no
2026-06-12 06:02:45 | 5.14 | 421.9 | 288 | 3095729:0.0:S,3095730:27.1:R | no
2026-06-12 06:04:15 | 5.21 | 420.2 | 285 | 3095729:0.0:S,3095730:28.8:R | no
